Order Date,Order Month,Order Year,Customer Name,Segment,Country,City,State,Region,Category,Sales,Quantity,Discount,Profit
08-11-2016,November,2016,Claire Gute,Consumer,United States,Henderson,Kentucky,South,Furniture,261.96,2,0,41.9136
08-11-2016,November,2016,Claire Gute,Consumer,United States,Henderson,Kentucky,South,Furniture,731.94,3,0,219.582
12-06-2016,June,2016,Darrin Van Huff,Corporate,United States,Los Angeles,California,West,Office Supplies,14.62,2,0,6.8714
11-10-2015,October,2015,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,South,Furniture,957.5775,5,0.45,-383.031
11-10-2015,October,2015,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,South,Office Supplies,22.368,2,0.2,2.5164
09-06-2014,June,2014,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,Furniture,48.86,7,0,14.1694
09-06-2014,June,2014,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,Office Supplies,7.28,4,0,1.9656
09-06-2014,June,2014,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,Technology,907.152,6,0.2,90.7152
09-06-2014,June,2014,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,Office Supplies,18.504,3,0.2,5.7825
09-06-2014,June,2014,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,Office Supplies,114.9,5,0,34.47
09-06-2014,June,2014,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,Furniture,1706.184,9,0.2,85.3092
09-06-2014,June,2014,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,Technology,911.424,4,0.2,68.3568
15-04-2017,April,2017,Andrew Allen,Consumer,United States,Concord,North Carolina,South,Office Supplies,15.552,3,0.2,5.4432
05-12-2016,December,2016,Irene Maddox,Consumer,United States,Seattle,Washington,West,Office Supplies,407.976,3,0.2,132.5922
22-11-2015,November,2015,Harold Pawlan,Home Office,United States,Fort Worth,Texas,Central,Office Supplies,68.81,5,0.8,-123.858
22-11-2015,November,2015,Harold Pawlan,Home Office,United States,Fort Worth,Texas,Central,Office Supplies,2.544,3,0.8,-3.816
11-11-2014,November,2014,Pete Kriz,Consumer,United States,Madison,Wisconsin,Central,Office Supplies,665.88,6,0,13.3176
13-05-2014,May,2014,Alejandro Grove,Consumer,United States,West Jordan,Utah,West,Office Supplies,55.5,2,0,9.99
27-08-2014,August,2014,Zuschuss Donatelli,Consumer,United States,San Francisco,California,West,Office Supplies,8.56,2,0,2.4824
27-08-2014,August,2014,Zuschuss Donatelli,Consumer,United States,San Francisco,California,West,Technology,213.48,3,0.2,16.011
27-08-2014,August,2014,Zuschuss Donatelli,Consumer,United States,San Francisco,California,West,Office Supplies,22.72,4,0.2,7.384
09-12-2016,December,2016,Ken Black,Corporate,United States,Fremont,Nebraska,Central,Office Supplies,19.46,7,0,5.0596
09-12-2016,December,2016,Ken Black,Corporate,United States,Fremont,Nebraska,Central,Office Supplies,60.34,7,0,15.6884
16-07-2017,July,2017,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,East,Furniture,71.372,2,0.3,-1.0196
25-09-2015,September,2015,Emily Burns,Consumer,United States,Orem,Utah,West,Furniture,1044.63,3,0,240.2649
16-01-2016,January,2016,Eric Hoffmann,Consumer,United States,Los Angeles,California,West,Office Supplies,11.648,2,0.2,4.2224
16-01-2016,January,2016,Eric Hoffmann,Consumer,United States,Los Angeles,California,West,Technology,90.57,3,0,11.7741
17-09-2015,September,2015,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,Furniture,3083.43,7,0.5,-1665.0522
17-09-2015,September,2015,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,Office Supplies,9.618,2,0.7,-7.0532
17-09-2015,September,2015,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,Furniture,124.2,3,0.2,15.525
17-09-2015,September,2015,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,Office Supplies,3.264,2,0.2,1.1016
17-09-2015,September,2015,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,Office Supplies,86.304,6,0.2,9.7092
17-09-2015,September,2015,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,Office Supplies,6.858,6,0.7,-5.715
17-09-2015,September,2015,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,Office Supplies,15.76,2,0.2,3.546
19-10-2017,October,2017,Matt Abelman,Home Office,United States,Houston,Texas,Central,Office Supplies,29.472,3,0.2,9.9468
08-12-2016,December,2016,Gene Hale,Corporate,United States,Richardson,Texas,Central,Technology,1097.544,7,0.2,123.4737
08-12-2016,December,2016,Gene Hale,Corporate,United States,Richardson,Texas,Central,Furniture,190.92,5,0.6,-147.963
27-12-2015,December,2015,Steve Nguyen,Home Office,United States,Houston,Texas,Central,Office Supplies,113.328,9,0.2,35.415
27-12-2015,December,2015,Steve Nguyen,Home Office,United States,Houston,Texas,Central,Furniture,532.3992,3,0.32,-46.9764
27-12-2015,December,2015,Steve Nguyen,Home Office,United States,Houston,Texas,Central,Furniture,212.058,3,0.3,-15.147
27-12-2015,December,2015,Steve Nguyen,Home Office,United States,Houston,Texas,Central,Technology,371.168,4,0.2,41.7564
10-09-2017,September,2017,Linda Cazamias,Corporate,United States,Naperville,Illinois,Central,Technology,147.168,4,0.2,16.5564
17-07-2016,July,2016,Ruben Ausman,Corporate,United States,Los Angeles,California,West,Office Supplies,77.88,2,0,3.894
19-09-2017,September,2017,Erin Smith,Corporate,United States,Melbourne,Florida,South,Office Supplies,95.616,2,0.2,9.5616
11-03-2016,March,2016,Odella Nelson,Corporate,United States,Eagan,Minnesota,Central,Technology,45.98,2,0,19.7714
11-03-2016,March,2016,Odella Nelson,Corporate,United States,Eagan,Minnesota,Central,Office Supplies,17.46,2,0,8.2062
20-10-2014,October,2014,Patrick O'Donnell,Consumer,United States,Westland,Michigan,Central,Office Supplies,211.96,4,0,8.4784
20-06-2016,June,2016,Lena Hernandez,Consumer,United States,Dover,Delaware,East,Technology,45,3,0,4.95
20-06-2016,June,2016,Lena Hernandez,Consumer,United States,Dover,Delaware,East,Technology,21.8,2,0,6.104
18-04-2015,April,2015,Darren Powers,Consumer,United States,New Albany,Indiana,Central,Office Supplies,38.22,6,0,17.9634
18-04-2015,April,2015,Darren Powers,Consumer,United States,New Albany,Indiana,Central,Office Supplies,75.18,6,0,35.3346
18-04-2015,April,2015,Darren Powers,Consumer,United States,New Albany,Indiana,Central,Furniture,6.16,2,0,2.9568
18-04-2015,April,2015,Darren Powers,Consumer,United States,New Albany,Indiana,Central,Furniture,89.99,1,0,17.0981
11-12-2016,December,2016,Janet Molinari,Corporate,United States,New York City,New York,East,Office Supplies,15.26,7,0,6.2566
11-12-2016,December,2016,Janet Molinari,Corporate,United States,New York City,New York,East,Technology,1029.95,5,0,298.6855
17-06-2016,June,2016,Ted Butterfield,Consumer,United States,Troy,New York,East,Office Supplies,208.56,6,0,52.14
17-06-2016,June,2016,Ted Butterfield,Consumer,United States,Troy,New York,East,Office Supplies,32.4,5,0,15.552
17-06-2016,June,2016,Ted Butterfield,Consumer,United States,Troy,New York,East,Furniture,319.41,5,0.1,7.098
17-06-2016,June,2016,Ted Butterfield,Consumer,United States,Troy,New York,East,Office Supplies,14.56,2,0,6.9888
17-06-2016,June,2016,Ted Butterfield,Consumer,United States,Troy,New York,East,Technology,30,2,0,3.3
17-06-2016,June,2016,Ted Butterfield,Consumer,United States,Troy,New York,East,Office Supplies,48.48,4,0.2,16.362
17-06-2016,June,2016,Ted Butterfield,Consumer,United States,Troy,New York,East,Office Supplies,1.68,1,0,0.84
24-11-2015,November,2015,Kunst Miller,Consumer,United States,Los Angeles,California,West,Technology,13.98,2,0,6.1512
24-11-2015,November,2015,Kunst Miller,Consumer,United States,Los Angeles,California,West,Office Supplies,25.824,6,0.2,9.3612
24-11-2015,November,2015,Kunst Miller,Consumer,United States,Los Angeles,California,West,Office Supplies,146.73,3,0,68.9631
24-11-2015,November,2015,Kunst Miller,Consumer,United States,Los Angeles,California,West,Furniture,79.76,4,0,22.3328
30-04-2015,April,2015,Paul Stevenson,Home Office,United States,Chicago,Illinois,Central,Furniture,213.115,5,0.3,-15.2225
05-12-2014,December,2014,Brendan Sweed,Corporate,United States,Gilbert,Arizona,West,Office Supplies,1113.024,8,0.2,111.3024
05-12-2014,December,2014,Brendan Sweed,Corporate,United States,Gilbert,Arizona,West,Technology,167.968,4,0.2,62.988
04-06-2016,June,2016,Karen Daniels,Consumer,United States,Springfield,Virginia,South,Office Supplies,75.88,2,0,35.6636
18-09-2016,September,2016,Henry MacAllister,Consumer,United States,New York City,New York,East,Office Supplies,4.616,1,0.2,1.731
14-09-2017,September,2017,Tracy Blumstein,Consumer,United States,Jackson,Michigan,Central,Office Supplies,19.05,3,0,8.763
26-04-2015,April,2015,Joel Eaton,Consumer,United States,Memphis,Tennessee,South,Furniture,831.936,8,0.2,-114.3912
26-04-2015,April,2015,Joel Eaton,Consumer,United States,Memphis,Tennessee,South,Furniture,97.04,2,0.2,1.213
26-04-2015,April,2015,Joel Eaton,Consumer,United States,Memphis,Tennessee,South,Office Supplies,72.784,1,0.2,-18.196
09-12-2017,December,2017,Ken Brennan,Corporate,United States,Houston,Texas,Central,Office Supplies,1.248,3,0.8,-1.9344
09-12-2017,December,2017,Ken Brennan,Corporate,United States,Houston,Texas,Central,Furniture,9.708,3,0.6,-5.8248
09-12-2017,December,2017,Ken Brennan,Corporate,United States,Houston,Texas,Central,Office Supplies,27.24,3,0.2,2.724
26-11-2014,November,2014,Joel Eaton,Consumer,United States,Houston,Texas,Central,Furniture,19.3,5,0.6,-14.475
12-06-2016,June,2016,Stewart Carmichael,Corporate,United States,Decatur,Alabama,South,Office Supplies,208.16,1,0,56.2032
12-06-2016,June,2016,Stewart Carmichael,Corporate,United States,Decatur,Alabama,South,Office Supplies,16.74,3,0,8.0352
12-10-2014,October,2014,Duane Noonan,Consumer,United States,San Francisco,California,West,Office Supplies,14.9,5,0,4.172
12-10-2014,October,2014,Duane Noonan,Consumer,United States,San Francisco,California,West,Office Supplies,21.39,1,0,6.2031
03-09-2015,September,2015,Julie Creighton,Corporate,United States,Durham,North Carolina,South,Office Supplies,200.984,7,0.2,62.8075
13-11-2017,November,2017,Christopher Schild,Home Office,United States,Chicago,Illinois,Central,Office Supplies,230.376,3,0.2,-48.9549
28-05-2017,May,2017,Patrick O'Donnell,Consumer,United States,Columbia,South Carolina,South,Furniture,301.96,2,0,33.2156
26-10-2017,October,2017,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,Central,Technology,19.99,1,0,6.7966
